ruta_simulada,total_viajes,tiempo_promedio,distancia_promedio
Duracion_~57hrs_Dist_~0km,661,3449.30158850227,919.813756933938
Duracion_~55hrs_Dist_~0km,655,3329.4490585241724,887.8530822731121
Duracion_~54hrs_Dist_~0km,650,3269.0170512820537,871.7378803418802
Duracion_~53hrs_Dist_~0km,634,3211.216955835964,856.3245215562564
Duracion_~56hrs_Dist_~0km,631,3388.9271526677217,903.7139073780588
Duracion_~52hrs_Dist_~0km,629,3150.6097774244845,840.162607313195
Duracion_~58hrs_Dist_~0km,625,3510.4663733333327,936.1243662222217
Duracion_~60hrs_Dist_~0km,581,3629.3137693631706,967.8170051635104
Duracion_~51hrs_Dist_~0km,571,3091.070461179218,824.2854563144582
Duracion_~59hrs_Dist_~0km,553,3570.5173598553392,952.1379626280897
Duracion_~61hrs_Dist_~0km,549,3690.2393746205225,984.0638332321387
Duracion_~50hrs_Dist_~0km,549,3029.6040376442056,807.8944100384542
Duracion_~49hrs_Dist_~0km,524,2970.6967875318064,792.1858100084818
Duracion_~63hrs_Dist_~1km,506,3810.625230566536,1016.1667281510759
Duracion_~64hrs_Dist_~1km,497,3870.029678068409,1032.007914151576
Duracion_~48hrs_Dist_~0km,482,2911.0357192254482,776.2761917934534
Duracion_~67hrs_Dist_~1km,448,4049.664136904764,1079.9104365079377
Duracion_~47hrs_Dist_~0km,436,2850.437194189603,760.116585117227
Duracion_~65hrs_Dist_~1km,424,3929.2597484276716,1047.8025995807122
Duracion_~66hrs_Dist_~1km,421,3989.4325811559775,1063.8486883082605
Duracion_~68hrs_Dist_~1km,403,4109.743672456575,1095.9316459884192
Duracion_~70hrs_Dist_~1km,395,4229.207088607595,1127.7885569620257
Duracion_~46hrs_Dist_~0km,390,2790.0952991452978,744.0254131054127
Duracion_~69hrs_Dist_~1km,365,4168.078675799092,1111.487646879756
Duracion_~44hrs_Dist_~0km,346,2671.8778901734113,712.5007707129093
Duracion_~45hrs_Dist_~0km,335,2731.1825373134334,728.3153432835816
Duracion_~71hrs_Dist_~1km,327,4290.678644240573,1144.1809717974859
Duracion_~72hrs_Dist_~1km,313,4349.333067092651,1159.8221512247064
Duracion_~43hrs_Dist_~0km,302,2610.0040286975727,696.0010743193525
Duracion_~62hrs_Dist_~0km,295,3734.8676836158174,995.9647156308858
Duracion_~62hrs_Dist_~1km,285,3764.3890643274863,1003.8370838206629
Duracion_~42hrs_Dist_~0km,257,2551.288067444874,680.3434846519674
Duracion_~73hrs_Dist_~1km,256,4411.369596354166,1176.365225694444
Duracion_~74hrs_Dist_~1km,245,4469.721496598642,1191.9257324263044
Duracion_~75hrs_Dist_~1km,238,4531.659523809523,1208.4425396825402
Duracion_~41hrs_Dist_~0km,225,2492.016148148147,664.537639506173
Duracion_~76hrs_Dist_~1km,213,4590.339749608765,1224.09059989567
Duracion_~1hrs_Dist_~0km,182,90.19917582417577,24.053113553113555
Duracion_~77hrs_Dist_~1km,177,4648.866854990585,1239.6978279974887
Duracion_~40hrs_Dist_~0km,175,2430.871333333333,648.2323555555552
Duracion_~78hrs_Dist_~1km,170,4710.327745098038,1256.0873986928104
Duracion_~79hrs_Dist_~1km,160,4768.891249999998,1271.7043333333334
Duracion_~80hrs_Dist_~1km,153,4829.936383442266,1287.9830355846045
Duracion_~39hrs_Dist_~0km,143,2370.465967365968,632.1242579642579
Duracion_~2hrs_Dist_~0km,139,149.82350119904078,39.952933653077515
Duracion_~3hrs_Dist_~0km,137,208.1889294403892,55.517047850770474
Duracion_~81hrs_Dist_~1km,131,4891.273155216283,1304.3395080576759
Duracion_~38hrs_Dist_~0km,124,2311.7817204301077,616.4751254480288
Duracion_~36hrs_Dist_~0km,112,2193.603422619048,584.9609126984127
Duracion_~82hrs_Dist_~1km,110,4950.020303030304,1320.0054141414141
Duracion_~5hrs_Dist_~0km,105,326.9019047619047,87.17384126984125
Duracion_~0hrs_Dist_~0km,102,36.43986928104576,9.717298474945535
Duracion_~37hrs_Dist_~0km,95,2249.7256140350883,599.9268304093567
Duracion_~4hrs_Dist_~0km,94,267.1290780141845,71.23442080378253
Duracion_~34hrs_Dist_~0km,87,2069.028927203065,551.7410472541507
Duracion_~29hrs_Dist_~0km,86,1771.3067829457364,472.3484754521962
Duracion_~83hrs_Dist_~1km,81,5010.252057613169,1336.0672153635117
Duracion_~35hrs_Dist_~0km,80,2128.1543749999996,567.5078333333333
Duracion_~85hrs_Dist_~1km,78,5130.188461538461,1368.050256410256
Duracion_~27hrs_Dist_~0km,78,1649.0446581196582,439.74524216524213
Duracion_~30hrs_Dist_~0km,77,1831.6896103896102,488.4505627705629
Duracion_~24hrs_Dist_~0km,75,1469.8231111111106,391.9528296296297
Duracion_~32hrs_Dist_~0km,74,1951.0756756756766,520.2868468468469
Duracion_~28hrs_Dist_~0km,74,1706.0470720720718,454.945885885886
Duracion_~26hrs_Dist_~0km,73,1592.7223744292241,424.7259665144599
Duracion_~33hrs_Dist_~0km,69,2013.0809178743962,536.821578099839
Duracion_~86hrs_Dist_~1km,64,5186.184375000002,1382.9825000000003
Duracion_~6hrs_Dist_~0km,64,387.3369791666667,103.28986111111105
Duracion_~84hrs_Dist_~1km,63,5069.011111111112,1351.7362962962961
Duracion_~87hrs_Dist_~1km,63,5246.333862433862,1399.0223633156966
Duracion_~25hrs_Dist_~0km,62,1535.1223118279565,409.3659498207886
Duracion_~22hrs_Dist_~0km,58,1350.6683908045975,360.1782375478928
