bici,total_minutos,total_viajes,duracion_promedio
847-5725,57088.54999999999,9,6343.172222222221
203-3454,54314.35,9,6034.927777777778
666-6523,53573.96666666667,9,5952.662962962963
454-9192,51181.06666666667,9,5686.785185185186
866-8469,50746.50000000001,9,5638.500000000001
877-3533,49316.75000000001,9,5479.63888888889
825-8964,49208.04999999999,9,5467.56111111111
623-5014,49190.81666666668,9,5465.646296296298
771-2060,49149.61666666666,9,5461.0685185185175
383-9602,49115.26666666666,9,5457.251851851852
